obj, x1, y1, x2, y2, prob, lat, long
2, 0.568793, 0.368441, 0.0976562, 0.127315, 0.879412, 40.607434, -8.748915
2, 0.402561, 0.145833, 0.015191, 0.0231481, 0.611215, 40.606931, -8.748846
2, 0.545573, 0.335262, 0.0842014, 0.104167, 0.895485, 40.607397, -8.748908
2, 0.403646, 0.151235, 0.0173611, 0.0262346, 0.620643, 40.606983, -8.748846
2, 0.529514, 0.311728, 0.0755208, 0.095679, 0.926535, 40.607382, -8.748908
2, 0.405599, 0.153549, 0.0177951, 0.0262346, 0.630943, 40.606983, -8.748846
2, 0.51454, 0.286265, 0.062066, 0.0833333, 0.881537, 40.607363, -8.748905
2, 0.406033, 0.154321, 0.0177951, 0.0277778, 0.635326, 40.606995, -8.748848
2, 0.511719, 0.280478, 0.0590278, 0.0810185, 0.891606, 40.607350, -8.748904
2, 0.406684, 0.158565, 0.0199653, 0.0316358, 0.733214, 40.607015, -8.748847
2, 0.502821, 0.264661, 0.0551215, 0.0740741, 0.898917, 40.607336, -8.748900
2, 0.406901, 0.16088, 0.0195312, 0.033179, 0.788931, 40.607061, -8.748849
2, 0.498915, 0.258873, 0.0516493, 0.0702161, 0.871524, 40.607336, -8.748900
2, 0.407552, 0.16358, 0.0199653, 0.0339506, 0.80725, 40.607085, -8.748851
2, 0.496311, 0.253086, 0.0481771, 0.0679012, 0.888169, 40.607336, -8.748900
2, 0.407552, 0.165895, 0.0217014, 0.037037, 0.824062, 40.607095, -8.748850
2, 0.493056, 0.246914, 0.0494792, 0.0648148, 0.903476, 40.607312, -8.748902
2, 0.409071, 0.168981, 0.0230035, 0.0385802, 0.83935, 40.607114, -8.748850
2, 0.488498, 0.241898, 0.0455729, 0.0671296, 0.863542, 40.607309, -8.748899
2, 0.410156, 0.17091, 0.0234375, 0.0378086, 0.819492, 40.607123, -8.748852
2, 0.484809, 0.237654, 0.0460069, 0.0648148, 0.861452, 40.607287, -8.748906
2, 0.411024, 0.175154, 0.0269097, 0.0385802, 0.833788, 40.607154, -8.748853
2, 0.482205, 0.231481, 0.0434028, 0.0617284, 0.879281, 40.607284, -8.748899
2, 0.411892, 0.178627, 0.0295139, 0.0393519, 0.838861, 40.607177, -8.748861
2, 0.479384, 0.22608, 0.0412326, 0.0570988, 0.870983, 40.607275, -8.748899
2, 0.412109, 0.18287, 0.031684, 0.0462963, 0.83851, 40.607193, -8.748861
2, 0.476997, 0.222994, 0.0381944, 0.0555556, 0.867492, 40.607255, -8.748902
2, 0.413628, 0.185957, 0.03125, 0.0509259, 0.804988, 40.607214, -8.748861
2, 0.473958, 0.218364, 0.0381944, 0.0540123, 0.845526, 40.607244, -8.748896
2, 0.41645, 0.192901, 0.0325521, 0.0540123, 0.817623, 40.607229, -8.748864
2, 0.469401, 0.211034, 0.0342882, 0.0501543, 0.866499, 40.607222, -8.748898
2, 0.41645, 0.192901, 0.0325521, 0.0540123, 0.817623, 40.607242, -8.748868
2, 0.469401, 0.211034, 0.0342882, 0.0501543, 0.866499, 40.607222, -8.748898
2, 0.41862, 0.197145, 0.0342882, 0.0594136, 0.851686, 40.607257, -8.748869
2, 0.466146, 0.208333, 0.0347222, 0.0478395, 0.875988, 40.607222, -8.748898
2, 0.463325, 0.205247, 0.0325521, 0.0447531, 0.82014, 40.607222, -8.748898
2, 0.420356, 0.20216, 0.0377604, 0.0648148, 0.850233, 40.607286, -8.748864
2, 0.462457, 0.202546, 0.030816, 0.0439815, 0.802315, 40.607194, -8.748893
2, 0.422743, 0.21142, 0.0390625, 0.0632716, 0.879191, 40.607315, -8.748865
2, 0.455946, 0.194059, 0.0282118, 0.0439815, 0.747852, 40.607169, -8.748895
2, 0.431641, 0.238812, 0.047309, 0.0810185, 0.867372, 40.607362, -8.748868
2, 0.451172, 0.184799, 0.0264757, 0.0378086, 0.815892, 40.607106, -8.748890
2, 0.444444, 0.283951, 0.0677083, 0.108025, 0.827572, 40.607422, -8.748871
2, 0.44553, 0.178627, 0.0256076, 0.033179, 0.861874, 40.607072, -8.748890
2, 0.473958, 0.357639, 0.0946181, 0.176698, 0.877095, 40.607486, -8.748878
2, 0.44184, 0.172454, 0.0225694, 0.0316358, 0.831052, 40.607025, -8.748883
2, 0.526476, 0.518133, 0.162326, 0.31713, 0.885171, 40.607551, -8.748883
